observation_date,CPIAUCSL
1993-01-01,142.6
1993-02-01,143.1
1993-03-01,143.6
1993-04-01,144.0
1993-05-01,144.2
1993-06-01,144.4
1993-07-01,144.4
1993-08-01,144.8
1993-09-01,145.1
1993-10-01,145.7
1993-11-01,145.8
1993-12-01,145.8
1994-01-01,146.2
1994-02-01,146.7
1994-03-01,147.2
1994-04-01,147.4
1994-05-01,147.5
1994-06-01,148.0
1994-07-01,148.4
1994-08-01,149.0
1994-09-01,149.4
1994-10-01,149.5
1994-11-01,149.7
1994-12-01,149.7
1995-01-01,150.3
1995-02-01,150.9
1995-03-01,151.4
1995-04-01,151.9
1995-05-01,152.2
1995-06-01,152.5
1995-07-01,152.5
1995-08-01,152.9
1995-09-01,153.2
1995-10-01,153.7
1995-11-01,153.6
1995-12-01,153.5
1996-01-01,154.4
1996-02-01,154.9
1996-03-01,155.7
1996-04-01,156.3
1996-05-01,156.6
1996-06-01,156.7
1996-07-01,157.0
1996-08-01,157.3
1996-09-01,157.8
1996-10-01,158.3
1996-11-01,158.6
1996-12-01,158.6
1997-01-01,159.1
1997-02-01,159.6
1997-03-01,160.0
1997-04-01,160.2
1997-05-01,160.1
1997-06-01,160.3
1997-07-01,160.5
1997-08-01,160.8
1997-09-01,161.2
1997-10-01,161.6
1997-11-01,161.5
1997-12-01,161.3
1998-01-01,161.6
1998-02-01,161.9
1998-03-01,162.2
1998-04-01,162.5
1998-05-01,162.8
1998-06-01,163.0
1998-07-01,163.2
1998-08-01,163.4
1998-09-01,163.6
1998-10-01,164.0
1998-11-01,164.0
1998-12-01,163.9
1999-01-01,164.3
1999-02-01,164.5
1999-03-01,165.0
1999-04-01,166.2
1999-05-01,166.2
1999-06-01,166.2
1999-07-01,166.7
1999-08-01,167.1
1999-09-01,167.9
1999-10-01,168.2
1999-11-01,168.3
1999-12-01,168.9
2000-01-01,168.8
2000-02-01,169.8
2000-03-01,171.2
2000-04-01,171.3
2000-05-01,171.5
2000-06-01,172.4
2000-07-01,172.8
2000-08-01,172.8
2000-09-01,173.7
2000-10-01,174.0
2000-11-01,174.1
2000-12-01,174.0
2001-01-01,175.1
2001-02-01,175.8
2001-03-01,176.2
2001-04-01,176.9
2001-05-01,177.7
2001-06-01,178.0
2001-07-01,177.5
2001-08-01,177.5
2001-09-01,178.3
2001-10-01,177.7
2001-11-01,177.4
2001-12-01,176.7
2002-01-01,177.1
2002-02-01,177.8
2002-03-01,178.8
2002-04-01,179.8
2002-05-01,179.8
2002-06-01,179.9
2002-07-01,180.1
2002-08-01,180.7
2002-09-01,181.0
2002-10-01,181.3
2002-11-01,181.3
2002-12-01,180.9
2003-01-01,181.7
2003-02-01,183.1
2003-03-01,184.2
2003-04-01,183.8
2003-05-01,183.5
2003-06-01,183.7
2003-07-01,183.9
2003-08-01,184.6
2003-09-01,185.2
2003-10-01,185.0
2003-11-01,184.5
2003-12-01,184.3
2004-01-01,185.2
2004-02-01,186.2
2004-03-01,187.4
2004-04-01,188.0
2004-05-01,189.1
2004-06-01,189.7
2004-07-01,189.4
2004-08-01,189.5
2004-09-01,190.9
2004-10-01,191.9
2004-11-01,191.0
2004-12-01,190.3
2005-01-01,190.7
2005-02-01,191.8
2005-03-01,193.3
2005-04-01,194.6
2005-05-01,194.4
2005-06-01,194.5
2005-07-01,195.4
2005-08-01,196.4
2005-09-01,198.8
2005-10-01,199.2
2005-11-01,197.6
2005-12-01,196.8
2006-01-01,198.3
2006-02-01,198.7
2006-03-01,199.8
2006-04-01,201.5
2006-05-01,202.5
2006-06-01,202.9
2006-07-01,203.5
2006-08-01,203.1
2006-09-01,202.9
2006-10-01,201.8
2006-11-01,201.5
2006-12-01,201.8
2007-01-01,202.4
2007-02-01,203.5
2007-03-01,205.4
2007-04-01,206.7
2007-05-01,207.9
2007-06-01,208.4
2007-07-01,208.3
2007-08-01,207.9
2007-09-01,208.5
2007-10-01,209.2
2007-11-01,210.2
2007-12-01,210.0
2008-01-01,211.1
2008-02-01,211.7
2008-03-01,213.5
2008-04-01,214.8
2008-05-01,216.6
2008-06-01,218.8
2008-07-01,219.9
2008-08-01,219.1
2008-09-01,218.8
2008-10-01,216.6
2008-11-01,212.4
2008-12-01,210.2
2009-01-01,211.1
2009-02-01,212.2
2009-03-01,212.7
2009-04-01,213.2
2009-05-01,213.9
2009-06-01,215.7
2009-07-01,215.4
2009-08-01,215.8
2009-09-01,215.9
2009-10-01,216.2
2009-11-01,216.3
2009-12-01,215.9
2010-01-01,216.7
2010-02-01,216.7
2010-03-01,217.6
2010-04-01,218.0
2010-05-01,218.2
2010-06-01,217.9
2010-07-01,218.0
2010-08-01,218.3
2010-09-01,218.4
2010-10-01,218.7
2010-11-01,218.8
2010-12-01,219.2
2011-01-01,220.2
2011-02-01,221.3
2011-03-01,223.5
2011-04-01,224.9
2011-05-01,225.4
2011-06-01,225.7
2011-07-01,225.9
2011-08-01,226.5
2011-09-01,226.9
2011-10-01,226.4
2011-11-01,226.2
2011-12-01,225.7
2012-01-01,226.7
2012-02-01,227.7
2012-03-01,229.4
2012-04-01,230.1
2012-05-01,229.2
2012-06-01,229.5
2012-07-01,229.1
2012-08-01,230.1
2012-09-01,231.4
2012-10-01,231.3
2012-11-01,230.2
2012-12-01,229.6
2013-01-01,230.3
2013-02-01,232.2
2013-03-01,232.8
2013-04-01,232.5
2013-05-01,232.9
2013-06-01,233.5
2013-07-01,233.6
2013-08-01,233.9
2013-09-01,234.1
2013-10-01,233.8
2013-11-01,233.7
2013-12-01,233.0
2014-01-01,233.9
2014-02-01,234.8
2014-03-01,236.3
2014-04-01,237.1
2014-05-01,237.9
2014-06-01,238.3
2014-07-01,238.3
2014-08-01,237.9
2014-09-01,238.0
2014-10-01,237.4
2014-11-01,236.2
2014-12-01,234.8
2015-01-01,233.7
2015-02-01,235.0
2015-03-01,236.1
2015-04-01,236.6
2015-05-01,237.8
2015-06-01,238.6
2015-07-01,238.7
2015-08-01,238.3
2015-09-01,237.9
2015-10-01,237.9
2015-11-01,238.0
2015-12-01,236.5
2016-01-01,236.9
2016-02-01,237.1
2016-03-01,238.1
2016-04-01,239.3
2016-05-01,240.2
2016-06-01,241.0
2016-07-01,240.6
2016-08-01,240.9
2016-09-01,241.4
2016-10-01,241.7
2016-11-01,241.4
2016-12-01,241.4
2017-01-01,242.8
2017-02-01,243.6
2017-03-01,243.8
2017-04-01,244.5
2017-05-01,244.7
2017-06-01,244.9
2017-07-01,244.8
2017-08-01,245.5
2017-09-01,246.8
2017-10-01,246.7
2017-11-01,246.7
2017-12-01,247.0
2018-01-01,247.9
2018-02-01,248.9
2018-03-01,249.6
2018-04-01,250.5
2018-05-01,251.6
2018-06-01,251.9
2018-07-01,252.0
2018-08-01,252.1
2018-09-01,252.4
2018-10-01,252.9
2018-11-01,252.0
2018-12-01,251.2
2019-01-01,251.7
2019-02-01,252.8
2019-03-01,254.2
2019-04-01,255.5
2019-05-01,256.1
2019-06-01,256.1
2019-07-01,256.6
2019-08-01,256.6
2019-09-01,256.8
2019-10-01,257.3
2019-11-01,257.2
2019-12-01,256.9
2020-01-01,257.9
2020-02-01,258.7
2020-03-01,258.1
2020-04-01,256.1
2020-05-01,256.4
2020-06-01,257.8
2020-07-01,259.1
2020-08-01,259.9
2020-09-01,260.3
2020-10-01,260.4
2020-11-01,260.2
2020-12-01,260.5
2021-01-01,261.6
2021-02-01,263.0
2021-03-01,264.9
2021-04-01,267.1
2021-05-01,269.2
2021-06-01,271.7
2021-07-01,273.0
2021-08-01,273.6
2021-09-01,274.3
2021-10-01,276.6
2021-11-01,278.5
2021-12-01,280.1
2022-01-01,281.9
2022-02-01,283.7
2022-03-01,287.5
2022-04-01,289.1
2022-05-01,292.3
2022-06-01,296.3
2022-07-01,296.3
2022-08-01,296.2
2022-09-01,296.8
2022-10-01,298.0
2022-11-01,297.7
2022-12-01,296.8
2023-01-01,299.2
2023-02-01,300.8
2023-03-01,301.8
2023-04-01,303.4
2023-05-01,304.1
2023-06-01,305.1
2023-07-01,305.7
2023-08-01,307.0
2023-09-01,307.8
2023-10-01,307.7
2023-11-01,308.0
2023-12-01,306.8
2024-01-01,308.4
2024-02-01,310.3
2024-03-01,312.2
2024-04-01,313.5
2024-05-01,314.1
2024-06-01,314.2
2024-07-01,314.5
2024-08-01,314.8
2024-09-01,315.3
2024-10-01,315.7
2024-11-01,315.5
2024-12-01,315.6
