observation_date,CUUR0000SEHA
1993-01-01,166.1
1993-02-01,166.7
1993-03-01,167.2
1993-04-01,167.8
1993-05-01,168.3
1993-06-01,168.9
1993-07-01,169.4
1993-08-01,170.0
1993-09-01,170.5
1993-10-01,171.1
1993-11-01,171.6
1993-12-01,172.2
1994-01-01,172.7
1994-02-01,173.4
1994-03-01,174.1
1994-04-01,174.8
1994-05-01,175.5
1994-06-01,176.2
1994-07-01,176.9
1994-08-01,177.6
1994-09-01,178.3
1994-10-01,179.0
1994-11-01,179.7
1994-12-01,180.4
1995-01-01,181.1
1995-02-01,181.9
1995-03-01,182.7
1995-04-01,183.5
1995-05-01,184.3
1995-06-01,185.1
1995-07-01,185.9
1995-08-01,186.7
1995-09-01,187.5
1995-10-01,188.3
1995-11-01,189.1
1995-12-01,189.9
1996-01-01,190.7
1996-02-01,191.5
1996-03-01,192.3
1996-04-01,193.1
1996-05-01,193.9
1996-06-01,194.7
1996-07-01,195.5
1996-08-01,196.3
1996-09-01,197.1
1996-10-01,197.9
1996-11-01,198.7
1996-12-01,199.5
1997-01-01,200.1
1997-02-01,200.7
1997-03-01,201.3
1997-04-01,201.9
1997-05-01,202.5
1997-06-01,203.1
1997-07-01,203.7
1997-08-01,204.3
1997-09-01,204.9
1997-10-01,205.5
1997-11-01,206.1
1997-12-01,206.7
1998-01-01,207.3
1998-02-01,207.9
1998-03-01,208.5
1998-04-01,209.1
1998-05-01,209.7
1998-06-01,210.3
1998-07-01,210.9
1998-08-01,211.5
1998-09-01,212.1
1998-10-01,212.7
1998-11-01,213.3
1998-12-01,213.9
1999-01-01,214.5
1999-02-01,215.0
1999-03-01,215.5
1999-04-01,216.0
1999-05-01,216.5
1999-06-01,217.0
1999-07-01,217.5
1999-08-01,218.0
1999-09-01,218.5
1999-10-01,219.0
1999-11-01,219.5
1999-12-01,220.0
2000-01-01,220.5
2000-02-01,221.1
2000-03-01,221.7
2000-04-01,222.3
2000-05-01,222.9
2000-06-01,223.5
2000-07-01,224.1
2000-08-01,224.7
2000-09-01,225.3
2000-10-01,225.9
2000-11-01,226.5
2000-12-01,227.1
2001-01-01,227.7
2001-02-01,228.5
2001-03-01,229.3
2001-04-01,230.1
2001-05-01,230.9
2001-06-01,231.7
2001-07-01,232.5
2001-08-01,233.3
2001-09-01,234.1
2001-10-01,234.9
2001-11-01,235.7
2001-12-01,236.5
2002-01-01,237.3
2002-02-01,238.3
2002-03-01,239.3
2002-04-01,240.3
2002-05-01,241.3
2002-06-01,242.3
2002-07-01,243.3
2002-08-01,244.3
2002-09-01,245.3
2002-10-01,246.3
2002-11-01,247.3
2002-12-01,248.3
2003-01-01,249.3
2003-02-01,250.1
2003-03-01,250.9
2003-04-01,251.7
2003-05-01,252.5
2003-06-01,253.3
2003-07-01,254.1
2003-08-01,254.9
2003-09-01,255.7
2003-10-01,256.5
2003-11-01,257.3
2003-12-01,258.1
2004-01-01,258.9
2004-02-01,259.7
2004-03-01,260.5
2004-04-01,261.3
2004-05-01,262.1
2004-06-01,262.9
2004-07-01,263.7
2004-08-01,264.5
2004-09-01,265.3
2004-10-01,266.1
2004-11-01,266.9
2004-12-01,267.7
2005-01-01,268.5
2005-02-01,269.5
2005-03-01,270.5
2005-04-01,271.5
2005-05-01,272.5
2005-06-01,273.5
2005-07-01,274.5
2005-08-01,275.5
2005-09-01,276.5
2005-10-01,277.5
2005-11-01,278.5
2005-12-01,279.5
2006-01-01,280.5
2006-02-01,281.5
2006-03-01,282.5
2006-04-01,283.5
2006-05-01,284.5
2006-06-01,285.5
2006-07-01,286.5
2006-08-01,287.5
2006-09-01,288.5
2006-10-01,289.5
2006-11-01,290.5
2006-12-01,291.5
2007-01-01,292.5
2007-02-01,293.7
2007-03-01,294.9
2007-04-01,296.1
2007-05-01,297.3
2007-06-01,298.5
2007-07-01,299.7
2007-08-01,300.9
2007-09-01,302.1
2007-10-01,303.3
2007-11-01,304.5
2007-12-01,305.7
2008-01-01,306.9
2008-02-01,308.1
2008-03-01,309.3
2008-04-01,310.5
2008-05-01,311.7
2008-06-01,312.9
2008-07-01,314.1
2008-08-01,315.3
2008-09-01,316.5
2008-10-01,317.7
2008-11-01,318.9
2008-12-01,320.1
2009-01-01,321.3
2009-02-01,322.1
2009-03-01,322.9
2009-04-01,323.7
2009-05-01,324.5
2009-06-01,325.3
2009-07-01,326.1
2009-08-01,326.9
2009-09-01,327.7
2009-10-01,328.5
2009-11-01,329.3
2009-12-01,330.1
2010-01-01,330.9
2010-02-01,331.5
2010-03-01,332.1
2010-04-01,332.7
2010-05-01,333.3
2010-06-01,333.9
2010-07-01,334.5
2010-08-01,335.1
2010-09-01,335.7
2010-10-01,336.3
2010-11-01,336.9
2010-12-01,337.5
2011-01-01,338.1
2011-02-01,339.1
2011-03-01,340.1
2011-04-01,341.1
2011-05-01,342.1
2011-06-01,343.1
2011-07-01,344.1
2011-08-01,345.1
2011-09-01,346.1
2011-10-01,347.1
2011-11-01,348.1
2011-12-01,349.1
2012-01-01,350.1
2012-02-01,351.5
2012-03-01,352.9
2012-04-01,354.3
2012-05-01,355.7
2012-06-01,357.1
2012-07-01,358.5
2012-08-01,359.9
2012-09-01,361.3
2012-10-01,362.7
2012-11-01,364.1
2012-12-01,365.5
2013-01-01,366.9
2013-02-01,368.1
2013-03-01,369.3
2013-04-01,370.5
2013-05-01,371.7
2013-06-01,372.9
2013-07-01,374.1
2013-08-01,375.3
2013-09-01,376.5
2013-10-01,377.7
2013-11-01,378.9
2013-12-01,380.1
2014-01-01,381.3
2014-02-01,382.7
2014-03-01,384.1
2014-04-01,385.5
2014-05-01,386.9
2014-06-01,388.3
2014-07-01,389.7
2014-08-01,391.1
2014-09-01,392.5
2014-10-01,393.9
2014-11-01,395.3
2014-12-01,396.7
2015-01-01,398.1
2015-02-01,399.7
2015-03-01,401.3
2015-04-01,402.9
2015-05-01,404.5
2015-06-01,406.1
2015-07-01,407.7
2015-08-01,409.3
2015-09-01,410.9
2015-10-01,412.5
2015-11-01,414.1
2015-12-01,415.7
2016-01-01,417.3
2016-02-01,419.1
2016-03-01,420.9
2016-04-01,422.7
2016-05-01,424.5
2016-06-01,426.3
2016-07-01,428.1
2016-08-01,429.9
2016-09-01,431.7
2016-10-01,433.5
2016-11-01,435.3
2016-12-01,437.1
2017-01-01,438.9
2017-02-01,441.1
2017-03-01,443.3
2017-04-01,445.5
2017-05-01,447.7
2017-06-01,449.9
2017-07-01,452.1
2017-08-01,454.3
2017-09-01,456.5
2017-10-01,458.7
2017-11-01,460.9
2017-12-01,463.1
2018-01-01,465.3
2018-02-01,467.5
2018-03-01,469.7
2018-04-01,471.9
2018-05-01,474.1
2018-06-01,476.3
2018-07-01,478.5
2018-08-01,480.7
2018-09-01,482.9
2018-10-01,485.1
2018-11-01,487.3
2018-12-01,489.5
2019-01-01,491.7
2019-02-01,494.1
2019-03-01,496.5
2019-04-01,498.9
2019-05-01,501.3
2019-06-01,503.7
2019-07-01,506.1
2019-08-01,508.5
2019-09-01,510.9
2019-10-01,513.3
2019-11-01,515.7
2019-12-01,518.1
2020-01-01,520.5
2020-02-01,522.5
2020-03-01,524.5
2020-04-01,526.5
2020-05-01,528.5
2020-06-01,530.5
2020-07-01,532.5
2020-08-01,534.5
2020-09-01,536.5
2020-10-01,538.5
2020-11-01,540.5
2020-12-01,542.5
2021-01-01,544.5
2021-02-01,547.3
2021-03-01,550.1
2021-04-01,552.9
2021-05-01,555.7
2021-06-01,558.5
2021-07-01,561.3
2021-08-01,564.1
2021-09-01,566.9
2021-10-01,569.7
2021-11-01,572.5
2021-12-01,575.3
2022-01-01,578.1
2022-02-01,582.7
2022-03-01,587.3
2022-04-01,591.9
2022-05-01,596.5
2022-06-01,601.1
2022-07-01,605.7
2022-08-01,610.3
2022-09-01,614.9
2022-10-01,619.5
2022-11-01,624.1
2022-12-01,628.7
2023-01-01,633.3
2023-02-01,637.1
2023-03-01,640.9
2023-04-01,644.7
2023-05-01,648.5
2023-06-01,652.3
2023-07-01,656.1
2023-08-01,659.9
2023-09-01,663.7
2023-10-01,667.5
2023-11-01,671.3
2023-12-01,675.1
2024-01-01,678.9
2024-02-01,682.3
2024-03-01,685.7
2024-04-01,689.1
2024-05-01,692.5
2024-06-01,695.9
2024-07-01,699.3
2024-08-01,702.7
2024-09-01,706.1
2024-10-01,709.5
2024-11-01,712.9
2024-12-01,716.3
