observation_date,MEHOINUSA646N
1993-01-01,31241
1994-01-01,32264
1995-01-01,34076
1996-01-01,35492
1997-01-01,37005
1998-01-01,38885
1999-01-01,40696
2000-01-01,41990
2001-01-01,42228
2002-01-01,42409
2003-01-01,43318
2004-01-01,44389
2005-01-01,46326
2006-01-01,48201
2007-01-01,50233
2008-01-01,50303
2009-01-01,49777
2010-01-01,49276
2011-01-01,50054
2012-01-01,51017
2013-01-01,52250
2014-01-01,53657
2015-01-01,56516
2016-01-01,59039
2017-01-01,61372
2018-01-01,63179
2019-01-01,68703
2020-01-01,67521
2021-01-01,70784
2022-01-01,74580
2023-01-01,80610
2024-01-01,80610
