observation_date,MSPUS
1993-01-01,147000
1993-04-01,148000
1993-07-01,153000
1993-10-01,155000
1994-01-01,154500
1994-04-01,158000
1994-07-01,162500
1994-10-01,164000
1995-01-01,155000
1995-04-01,160000
1995-07-01,165000
1995-10-01,168000
1996-01-01,163000
1996-04-01,169000
1996-07-01,175000
1996-10-01,179000
1997-01-01,175000
1997-04-01,180000
1997-07-01,187000
1997-10-01,190000
1998-01-01,183000
1998-04-01,190000
1998-07-01,197000
1998-10-01,202000
1999-01-01,195000
1999-04-01,205000
1999-07-01,213000
1999-10-01,218000
2000-01-01,217000
2000-04-01,225000
2000-07-01,232000
2000-10-01,234000
2001-01-01,229000
2001-04-01,236000
2001-07-01,243000
2001-10-01,245000
2002-01-01,240000
2002-04-01,249000
2002-07-01,261000
2002-10-01,269000
2003-01-01,261000
2003-04-01,270000
2003-07-01,281000
2003-10-01,289000
2004-01-01,278000
2004-04-01,293000
2004-07-01,311000
2004-10-01,324000
2005-01-01,314000
2005-04-01,332000
2005-07-01,357000
2005-10-01,370000
2006-01-01,366000
2006-04-01,373000
2006-07-01,372000
2006-10-01,363000
2007-01-01,351000
2007-04-01,348000
2007-07-01,345000
2007-10-01,333000
2008-01-01,315000
2008-04-01,304000
2008-07-01,299000
2008-10-01,265000
2009-01-01,254000
2009-04-01,258000
2009-07-01,263000
2009-10-01,266000
2010-01-01,265000
2010-04-01,269000
2010-07-01,264000
2010-10-01,254000
2011-01-01,238000
2011-04-01,244000
2011-07-01,234000
2011-10-01,227000
2012-01-01,231000
2012-04-01,244000
2012-07-01,262000
2012-10-01,277000
2013-01-01,271000
2013-04-01,294000
2013-07-01,318000
2013-10-01,321000
2014-01-01,318000
2014-04-01,326000
2014-07-01,339000
2014-10-01,344000
2015-01-01,328000
2015-04-01,342000
2015-07-01,363000
2015-10-01,373000
2016-01-01,352000
2016-04-01,360000
2016-07-01,373000
2016-10-01,379000
2017-01-01,374000
2017-04-01,382000
2017-07-01,394000
2017-10-01,400000
2018-01-01,396000
2018-04-01,408000
2018-07-01,416000
2018-10-01,411000
2019-01-01,404000
2019-04-01,314000
2019-07-01,330000
2019-10-01,334000
2020-01-01,326000
2020-04-01,317000
2020-07-01,357000
2020-10-01,383000
2021-01-01,393000
2021-04-01,434000
2021-07-01,457000
2021-10-01,477000
2022-01-01,476000
2022-04-01,511000
2022-07-01,488000
2022-10-01,467000
2023-01-01,436000
2023-04-01,457000
2023-07-01,468000
2023-10-01,467000
2024-01-01,456000
2024-04-01,477000
2024-07-01,492000
2024-10-01,484000
